DATE,STOCK,DAY_OF_MONTH,DAY_OF_WEEK,WEEK_OF_MONTH,MONTH,QUARTER,YEAR,CLOSE_LAG_1,CLOSE_LAG_2,CLOSE_MA_3,FORECAST,MODEL_TYPE,RUN_DATE
2024-06-14,BBSE3.SA,14,4,2,6,2,2024,32.78970360001124,32.77682879842394,32.78541199948214,32.813533861763375,ET,2024-06-10
2024-06-17,BBSE3.SA,17,0,3,6,2,2024,32.813533861763375,32.78970360001124,32.805590441179326,32.84868379382056,ET,2024-06-10
2024-06-18,BBSE3.SA,18,1,3,6,2,2024,32.84868379382056,32.813533861763375,32.836967149801495,32.76284688905866,ET,2024-06-10
2024-06-11,CSMG3.SA,11,1,2,6,2,2024,19.57,19.72,19.703333333333337,16.80950927734375,XGB,2024-06-10
2024-06-12,CSMG3.SA,12,2,2,6,2,2024,16.80950927734375,19.57,17.7296728515625,15.3612642288208,XGB,2024-06-10
2024-06-13,CSMG3.SA,13,3,2,6,2,2024,15.3612642288208,16.80950927734375,15.844012260437012,13.315062522888184,XGB,2024-06-10
2024-06-14,CSMG3.SA,14,4,2,6,2,2024,13.315062522888184,15.3612642288208,13.997130393981934,11.573515892028809,XGB,2024-06-10
2024-06-17,CSMG3.SA,17,0,3,6,2,2024,11.573515892028809,13.315062522888184,12.154030799865723,10.170677185058594,XGB,2024-06-10
2024-06-18,CSMG3.SA,18,1,3,6,2,2024,10.170677185058594,11.573515892028809,10.638290405273438,8.741806030273438,XGB,2024-06-10
2024-06-11,CSMG3.SA,11,1,2,6,2,2024,19.57,19.72,19.703333333333337,19.50195829773297,ET,2024-06-10
2024-06-12,CSMG3.SA,12,2,2,6,2,2024,19.50195829773297,19.57,19.524638865155314,19.719372285828207,ET,2024-06-10
2024-06-13,CSMG3.SA,13,3,2,6,2,2024,19.719372285828207,19.50195829773297,19.646900956463128,19.490180619161542,ET,2024-06-10
2024-06-14,CSMG3.SA,14,4,2,6,2,2024,19.490180619161542,19.719372285828207,19.566577841383765,19.736561246867172,ET,2024-06-10
2024-06-17,CSMG3.SA,17,0,3,6,2,2024,19.736561246867172,19.490180619161542,19.654434370965294,19.577811842105266,ET,2024-06-10
2024-06-18,CSMG3.SA,18,1,3,6,2,2024,19.577811842105266,19.736561246867172,19.630728310359235,19.660137464399632,ET,2024-06-10
2024-06-11,PETR4.SA,11,1,2,6,2,2024,37.74,36.94,37.68666666666667,31.214113235473633,XGB,2024-06-10
2024-06-12,PETR4.SA,12,2,2,6,2,2024,31.214113235473633,37.74,33.38940882364909,27.295759201049805,XGB,2024-06-10
2024-06-13,PETR4.SA,13,3,2,6,2,2024,27.295759201049805,31.214113235473633,28.601877212524414,25.586414337158203,XGB,2024-06-10
2024-06-14,PETR4.SA,14,4,2,6,2,2024,25.586414337158203,27.295759201049805,26.15619468688965,22.17900276184082,XGB,2024-06-10
2024-06-17,PETR4.SA,17,0,3,6,2,2024,22.17900276184082,25.586414337158203,23.31480598449707,19.492475509643555,XGB,2024-06-10
2024-06-18,PETR4.SA,18,1,3,6,2,2024,19.492475509643555,22.17900276184082,20.387985229492188,17.021156311035156,XGB,2024-06-10
2024-06-11,PETR4.SA,11,1,2,6,2,2024,37.74,36.94,37.68666666666667,37.59175119047619,ET,2024-06-10
2024-06-12,PETR4.SA,12,2,2,6,2,2024,37.59175119047619,37.74,37.641167460317455,37.32179285714285,ET,2024-06-10
2024-06-13,PETR4.SA,13,3,2,6,2,2024,37.32179285714285,37.59175119047619,37.41177896825396,37.47195952380952,ET,2024-06-10
2024-06-14,PETR4.SA,14,4,2,6,2,2024,37.47195952380952,37.32179285714285,37.421903968253964,37.180733333333336,ET,2024-06-10
2024-06-17,PETR4.SA,17,0,3,6,2,2024,37.180733333333336,37.47195952380952,37.27780873015873,37.52451458333333,ET,2024-06-10
2024-06-18,PETR4.SA,18,1,3,6,2,2024,37.52451458333333,37.180733333333336,37.40992083333333,37.580997023809516,ET,2024-06-10
2024-06-11,BRSR6.SA,11,1,2,6,2,2024,10.88,10.98,10.986666666666665,9.48367977142334,XGB,2024-06-10
2024-06-12,BRSR6.SA,12,2,2,6,2,2024,9.48367977142334,10.88,9.949119847615561,8.326168060302734,XGB,2024-06-10
2024-06-13,BRSR6.SA,13,3,2,6,2,2024,8.326168060302734,9.48367977142334,8.712005615234375,7.273604869842529,XGB,2024-06-10
2024-06-14,BRSR6.SA,14,4,2,6,2,2024,7.273604869842529,8.326168060302734,7.624459743499756,6.28624153137207,XGB,2024-06-10
2024-06-17,BRSR6.SA,17,0,3,6,2,2024,6.28624153137207,7.273604869842529,6.615362644195557,5.593023777008057,XGB,2024-06-10
2024-06-18,BRSR6.SA,18,1,3,6,2,2024,5.593023777008057,6.28624153137207,5.824096202850342,5.00389289855957,XGB,2024-06-10
2024-06-11,BRSR6.SA,11,1,2,6,2,2024,10.88,10.98,10.986666666666665,10.93438731566928,ET,2024-06-10
2024-06-12,BRSR6.SA,12,2,2,6,2,2024,10.93438731566928,10.88,10.916258210446188,11.062540375361323,ET,2024-06-10
2024-06-13,BRSR6.SA,13,3,2,6,2,2024,11.062540375361323,10.93438731566928,11.01982268879731,11.072419095435713,ET,2024-06-10
2024-06-14,BRSR6.SA,14,4,2,6,2,2024,11.072419095435713,11.062540375361323,11.06912618874425,11.067819437535064,ET,2024-06-10
2024-06-17,BRSR6.SA,17,0,3,6,2,2024,11.067819437535064,11.072419095435713,11.06935265683528,11.025101203659194,ET,2024-06-10
2024-06-18,BRSR6.SA,18,1,3,6,2,2024,11.025101203659194,11.067819437535064,11.03934061495115,10.9946740165045,ET,2024-06-10
